time; n; mu_cfp; std_cfp; rawData_cfp 
31.62; 119; 47.0588; 49.9134; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,0,100,100,100,100,0,100,100,0,100,100,100,100,0,0,100,0}
32.64; 115; 46.087; 49.8466; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,0,100,100,100,100,0,100,100,0,100,100,100,100,0,0,100,0,0}
33.66; 110; 46.3636; 49.8676; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,100,0,0,100,100,100,100,0,100,100,0,100,100,100,100,0,0,100,0,100,0}
34.68; 122; 45.9016; 49.8317; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,100,0,0,100,100,100,100,0,100,100,0,100,100,100,100,0,0,100,0,100,0,0,0,0,100,100,0,0,100,0,0,100,100,100}
35.7; 130; 46.1538; 49.8518; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,100,0,0,100,100,100,100,100,100,0,100,100,100,100,0,0,100,0,0,0,0,0,100,100,0,0,100,0,0,100,100,100,100,0,100,100,0,0,100,0,0,0,0,0,100,100,100,100,0}
36.72; 149; 44.2953; 49.6735; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,100,0,0,100,100,100,100,100,100,0,100,100,100,100,0,0,100,0,0,0,0,0,100,100,0,0,100,0,0,100,100,100,100,0,100,100,0,0,100,0,0,0,0,0,100,100,100,100,0,0,0,0,100,100,0,100,0,0,100,100,0,0,0,0,100,0,0,0,0}
37.74; 160; 42.5; 49.4343; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,100,0,0,100,100,100,100,100,0,100,100,100,100,0,0,100,0,0,0,0,100,100,0,0,100,0,0,100,100,100,100,0,100,100,0,0,100,0,0,0,0,0,100,100,100,100,0,0,0,0,100,100,0,100,0,0,100,100,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100,100,100,0,0,0,0,100,100,100,100,0,0,0}
38.76; 168; 43.4524; 49.5695; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,100,0,0,100,100,100,100,0,100,100,100,100,0,0,100,0,0,0,0,100,100,0,0,100,0,0,100,100,100,100,0,100,100,0,0,100,0,0,0,0,0,100,100,100,0,0,0,100,100,0,100,0,100,100,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100,100,100,0,0,0,0,100,100,100,100,0,0,0,100,100,0,0,100,100,0,100,100,0,100,0,0}
39.78; 170; 43.5294; 49.5796; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,100,0,0,100,100,100,100,0,100,100,100,100,0,0,100,0,0,0,0,100,100,0,0,100,0,0,100,100,100,100,0,100,100,0,0,0,0,0,0,0,100,100,100,0,0,0,100,100,0,100,0,100,100,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100,100,100,0,0,0,0,100,100,100,100,0,0,0,100,0,0,100,100,0,100,100,0,0,0,100,100,100,100,100,0}
40.8; 164; 42.0732; 49.3677; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,100,0,0,100,100,100,100,0,100,100,100,100,0,0,0,0,0,0,100,100,0,100,0,0,100,100,100,100,0,100,100,0,0,0,0,0,0,0,100,100,100,0,0,0,100,0,0,100,100,0,0,0,100,0,0,0,0,0,100,0,0,100,100,100,0,0,0,0,100,100,100,0,0,0,100,0,0,100,100,0,100,0,0,0,100,100,100,100,100,0,0,100,0}
41.82; 161; 42.8571; 49.4872; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,100,0,100,100,100,100,0,100,100,100,100,0,0,0,0,0,100,100,0,100,0,0,100,100,100,100,0,100,100,0,0,0,0,0,0,0,100,100,100,0,0,0,100,0,0,100,100,0,0,0,100,0,0,0,0,0,100,0,0,100,100,100,0,0,0,0,100,100,100,0,0,0,100,0,0,100,100,0,100,0,0,0,100,100,100,100,100,0,100,0}
